"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1250.83,846.667,74.3527,50.328,0,0,0,0,0
1,1250.83,846.667,74.2675,50.3306,-0.0851678,0.00260344,0.000843032,-0.000413059,9.71654e-05
2,1250.83,846.667,74.1329,50.312,-0.219806,-0.0159616,0.00158061,-0.00143551,-0.000695094
3,1250.83,846.667,73.9995,50.2839,-0.3532,-0.0440387,0.00218253,-0.00129352,0.000671313
4,1250.83,846.667,73.8742,50.2669,-0.47851,-0.0610535,0.00351474,-0.00196219,0.000912167
5,1250.83,846.667,73.7467,50.2937,-0.605985,-0.0343131,0.00409985,-0.00166722,0.00126247
6,1250.83,846.667,73.62,50.2742,-0.732628,-0.0537713,0.00451628,-0.00139058,0.000206619
7,1250.83,846.667,73.4993,50.2506,-0.853356,-0.0773539,0.00609832,-0.00188093,0.000280299
8,1250.83,846.667,73.3779,50.2493,-0.974759,-0.0787204,0.00733533,-0.0020134,0.000983808
9,1250.83,846.667,73.2494,50.2786,-1.10326,-0.0493556,0.00883611,-0.0028887,0.00164398
10,1250.83,846.667,73.1187,50.2572,-1.23393,-0.0707392,0.0097207,-0.00268162,0.00189215
