"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,907.5,1166.67,53.9441,69.3496,0,0,0,0,0
1,907.5,1166.67,53.8491,69.3497,-0.0949473,9.3332e-05,0.000524613,-0.000442538,-0.000241377
2,907.5,1166.67,53.703,69.3213,-0.241071,-0.028241,0.00310979,0.00060008,-0.000295285
3,907.5,1166.67,53.5555,69.292,-0.388583,-0.0575351,0.00250153,-0.000437319,-0.000168855
4,907.5,1166.67,53.4104,69.2676,-0.533707,-0.0819355,0.00276463,-7.53963e-05,-0.000172967
5,907.5,1166.67,53.2665,69.2913,-0.677543,-0.0582599,0.00370714,-0.00108424,0.000163969
6,907.5,1166.67,53.1235,69.2643,-0.820532,-0.0852714,0.00486928,-0.00237049,-0.000456845
7,907.5,1166.67,52.9852,69.2291,-0.958859,-0.120484,0.00443142,-0.00284203,0.000271643
8,907.5,1166.67,52.8444,69.2247,-1.09971,-0.124844,0.00633174,-0.0025205,0.000976941
9,907.5,1166.67,52.6968,69.2465,-1.24724,-0.103061,0.00561614,-0.00136448,-0.000395601
10,907.5,1166.67,52.5461,69.2205,-1.39795,-0.129106,0.00780265,-0.00314817,0.00159197
