"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1261.11,1128.47,74.9636,67.0792,0,0,0,0,0
1,1261.11,1128.47,74.8798,67.0779,-0.0838332,-0.00125906,0.00103787,8.03373e-05,-2.40766e-05
2,1261.11,1128.47,74.7484,67.0474,-0.215235,-0.0317633,0.00184993,-0.00193389,0.00141457
3,1261.11,1128.47,74.6172,67.0102,-0.346362,-0.0690194,0.00168832,-0.00205056,0.00051985
4,1261.11,1128.47,74.4911,66.9859,-0.472456,-0.0933458,0.00310254,-0.00188466,-0.000159187
5,1261.11,1128.47,74.3664,67.0028,-0.597209,-0.0763881,0.00385284,-0.00175301,-0.000773644
6,1261.11,1128.47,74.2439,66.9726,-0.719704,-0.106656,0.0048019,-0.00255586,-0.00116302
7,1261.11,1128.47,74.1244,66.9372,-0.839185,-0.141984,0.00540707,-0.00310348,-0.0011584
8,1261.11,1128.47,74.0031,66.9258,-0.960466,-0.153453,0.00718214,-0.00369948,-0.00116748
9,1261.11,1128.47,73.8768,66.9513,-1.08683,-0.127932,0.00958194,-0.00333566,-0.000574125
10,1261.11,1128.47,73.7443,66.9145,-1.21926,-0.16473,0.0132392,-0.00389702,-0.000328782
