"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1290.03,996.817,76.6824,59.2533,0,0,0,0,0
1,1290.03,996.817,76.6,59.2548,-0.0824072,0.00144638,0.000255678,-0.000625476,0.00027753
2,1290.03,996.817,76.4651,59.2259,-0.217352,-0.027359,0.00349002,-0.00369801,-0.00141591
3,1290.03,996.817,76.3351,59.201,-0.347336,-0.0522654,0.00296291,-0.00241693,-0.000269812
4,1290.03,996.817,76.2112,59.1834,-0.471265,-0.0698912,0.00222022,-0.00260058,-0.000751982
5,1290.03,996.817,76.085,59.2022,-0.597474,-0.0510974,0.00464651,-0.00487975,0.000139795
6,1290.03,996.817,75.9664,59.1874,-0.716077,-0.0658996,0.00753321,-0.00989518,0.00162083
7,1290.03,996.817,75.8402,59.146,-0.842264,-0.107264,0.00670565,-0.00675182,-0.000690601
8,1290.03,996.817,75.724,59.1441,-0.958448,-0.10924,0.008781,-0.00769005,-0.000335481
9,1290.03,996.817,75.5945,59.1726,-1.08792,-0.0806557,0.0107231,-0.00923217,0.000160497
10,1290.03,996.817,75.4654,59.1461,-1.21698,-0.107248,0.0138035,-0.0111314,-0.000994597
