"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1254.17,1101.67,74.5508,65.4858,0,0,0,0,0
1,1254.17,1101.67,74.4659,65.4834,-0.0848588,-0.00246783,0.000775409,-0.00046299,-0.000534079
2,1254.17,1101.67,74.3349,65.4559,-0.215858,-0.0299329,0.000688313,0.000512813,-9.12605e-05
3,1254.17,1101.67,74.2025,65.4233,-0.348299,-0.0625427,0.00157399,-0.00103712,-0.000857583
4,1254.17,1101.67,74.0768,65.3942,-0.474032,-0.0916321,0.00491651,-0.00195178,-0.000209627
5,1254.17,1101.67,73.9515,65.4161,-0.599288,-0.0696895,0.00463755,-0.00300657,-0.00152386
6,1254.17,1101.67,73.8295,65.3842,-0.72128,-0.101603,0.00705304,-0.0021332,-0.00139126
7,1254.17,1101.67,73.7069,65.3534,-0.843917,-0.132449,0.00807924,-0.00422847,-0.000621347
8,1254.17,1101.67,73.5849,65.3428,-0.965914,-0.14304,0.00916377,-0.00529083,-0.00144632
9,1254.17,1101.67,73.4537,65.3665,-1.09707,-0.119353,0.00994563,-0.00476804,-0.000689015
10,1254.17,1101.67,73.3254,65.3337,-1.22544,-0.152108,0.0115819,-0.00672106,-0.00136201
