"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1174.17,1009.17,69.7954,59.9874,0,0,0,0,0
1,1174.17,1009.17,69.7068,59.9882,-0.0886351,0.000850625,0.000431962,0.000102943,9.57586e-05
2,1174.17,1009.17,69.5671,59.967,-0.228318,-0.0203974,0.001255,-0.00167842,-4.36917e-05
3,1174.17,1009.17,69.4338,59.9318,-0.361596,-0.0556183,0.00145937,-0.000512298,-0.000454314
4,1174.17,1009.17,69.2988,59.9137,-0.496563,-0.0737329,0.0022325,-0.000950527,0.00010806
5,1174.17,1009.17,69.1687,59.933,-0.626668,-0.0544167,0.00386629,-0.00133697,-0.000574577
6,1174.17,1009.17,69.0366,59.9095,-0.758794,-0.0778662,0.0043345,-0.00349057,-0.00215189
7,1174.17,1009.17,68.9106,59.8754,-0.884851,-0.111947,0.00513333,-0.00246683,-0.000849678
8,1174.17,1009.17,68.7839,59.8704,-1.01147,-0.11696,0.00519881,-0.00213301,-0.000692751
9,1174.17,1009.17,68.6515,59.8981,-1.14393,-0.0893117,0.00670894,-0.00317272,-0.0022355
10,1174.17,1009.17,68.5128,59.8712,-1.28265,-0.116239,0.00808867,-0.00251605,-0.00176709
