"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1309.72,1023.61,77.8532,60.846,0,0,0,0,0
1,1309.72,1023.61,77.7684,60.8432,-0.0847513,-0.00281323,0.000706343,-0.00104009,0.000754191
2,1309.72,1023.61,77.6391,60.8177,-0.214105,-0.0283162,0.00315213,-0.00295026,0.000193172
3,1309.72,1023.61,77.51,60.7886,-0.343139,-0.0574236,0.00397948,-0.00427546,0.000463489
4,1309.72,1023.61,77.3867,60.7645,-0.4665,-0.0815529,0.00536883,-0.00658206,0.000373355
5,1309.72,1023.61,77.2622,60.7858,-0.590966,-0.0601739,0.00672358,-0.00702182,4.74552e-05
6,1309.72,1023.61,77.1416,60.7602,-0.711524,-0.0857738,0.0080485,-0.0114808,0.00202977
7,1309.72,1023.61,77.0241,60.7306,-0.829054,-0.115384,0.0105988,-0.011544,0.000569045
8,1309.72,1023.61,76.906,60.7222,-0.947206,-0.123805,0.0128458,-0.0121349,-0.000107675
9,1309.72,1023.61,76.7823,60.7524,-1.0709,-0.0936244,0.0156818,-0.0154801,-0.000540515
10,1309.72,1023.61,76.6554,60.7228,-1.19777,-0.123188,0.019834,-0.0167979,0.000641584
