"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,905.76,853.92,53.8406,50.7591,0,0,0,0,0
1,905.76,853.92,53.7444,50.7616,-0.0962333,0.00244736,-0.000541276,-0.000429316,0.000250593
2,905.76,853.92,53.5972,50.7414,-0.243491,-0.017753,0.00159398,-0.00164038,-0.000254227
3,905.76,853.92,53.4446,50.7169,-0.396071,-0.0422717,0.00119937,-0.000845834,-0.000669839
4,905.76,853.92,53.3012,50.7035,-0.539431,-0.0555972,0.00210729,-0.00117071,-0.000212745
5,905.76,853.92,53.153,50.7293,-0.6876,-0.029881,0.00429629,-0.00196807,8.04165e-05
6,905.76,853.92,53.0079,50.7117,-0.832785,-0.0474601,0.00438701,-0.00176263,0.00064333
7,905.76,853.92,52.872,50.6842,-0.968607,-0.0749233,0.00755048,-0.00299428,-0.000529378
8,905.76,853.92,52.7295,50.6824,-1.11116,-0.0767558,0.00685449,-0.002885,-0.000893641
9,905.76,853.92,52.5834,50.7114,-1.25725,-0.0477455,0.00681447,-0.0029999,-0.000468072
10,905.76,853.92,52.429,50.6883,-1.4116,-0.0708151,0.00824052,-0.00370699,-0.000303418
