"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1252.08,952.778,74.427,56.6355,0,0,0,0,0
1,1252.08,952.778,74.342,56.6363,-0.0849984,0.000795708,5.04059e-05,-0.00049082,0.000209729
2,1252.08,952.778,74.2094,56.6177,-0.217531,-0.0178004,0.00174276,4.90508e-05,-4.7585e-05
3,1252.08,952.778,74.0754,56.5859,-0.351546,-0.0495872,0.00301621,-0.00135272,0.000106916
4,1252.08,952.778,73.9489,56.5686,-0.478113,-0.0669166,0.00304439,-0.00167364,0.00028712
5,1252.08,952.778,73.8221,56.5897,-0.604852,-0.0457949,0.00530824,-0.00263246,7.09378e-06
6,1252.08,952.778,73.6968,56.5693,-0.730168,-0.0661668,0.00631947,-0.00172985,0.000462427
7,1252.08,952.778,73.5752,56.5381,-0.851784,-0.0973552,0.00873714,-0.00362665,0.000544009
8,1252.08,952.778,73.4542,56.5339,-0.972813,-0.101585,0.0102748,-0.00441784,0.000233689
9,1252.08,952.778,73.3246,56.5669,-1.10239,-0.0686006,0.0122615,-0.00419145,0.000326061
10,1252.08,952.778,73.1932,56.5397,-1.2338,-0.0958161,0.0131204,-0.00567347,0.00106043
