"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1066.67,1055,63.4053,62.7118,0,0,0,0,0
1,1066.67,1055,63.3149,62.7117,-0.0904194,-0.000102624,0.00133928,-0.00144632,-1.84745e-05
2,1066.67,1055,63.1738,62.6877,-0.231565,-0.0240995,0.000310023,-0.00162698,0.000172867
3,1066.67,1055,63.0324,62.6557,-0.372897,-0.0561534,0.00186164,-0.000957598,0.000120646
4,1066.67,1055,62.893,62.6368,-0.512304,-0.075017,0.00348152,-0.00135057,-0.000820507
5,1066.67,1055,62.7546,62.6577,-0.650734,-0.0541127,0.00295836,-0.000830759,-7.07668e-05
6,1066.67,1055,62.6204,62.6345,-0.784919,-0.0773594,0.00490408,-0.00206562,0.000500485
7,1066.67,1055,62.4901,62.6009,-0.915229,-0.110983,0.00581594,-0.00258258,-0.000472766
8,1066.67,1055,62.3563,62.5947,-1.04902,-0.117106,0.00663287,-0.00179415,-4.10205e-05
9,1066.67,1055,62.2174,62.6249,-1.1879,-0.0869662,0.00566903,-0.00271439,-7.31706e-05
10,1066.67,1055,62.0768,62.5949,-1.3285,-0.116941,0.00788836,-0.00126593,0.000152182
