"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,917.28,931.68,54.5254,55.3814,0,0,0,0,0
1,917.28,931.68,54.4281,55.3829,-0.0973636,0.00149207,0.000444802,-5.10774e-05,-0.000436152
2,917.28,931.68,54.2817,55.3627,-0.243751,-0.0186631,0.00065539,0.000570644,2.45188e-05
3,917.28,931.68,54.1316,55.336,-0.393789,-0.0453858,0.00245155,-0.000994302,-0.000141405
4,917.28,931.68,53.9886,55.3197,-0.536837,-0.0616568,0.00208648,-0.000945868,-0.00019245
5,917.28,931.68,53.8422,55.345,-0.683172,-0.0364117,0.00291329,-0.00209226,-2.26717e-05
6,917.28,931.68,53.698,55.3222,-0.827466,-0.0592083,0.00324379,-0.00340551,-8.91754e-05
7,917.28,931.68,53.5603,55.2929,-0.965103,-0.0885119,0.00540431,-0.00170835,-0.000458399
8,917.28,931.68,53.4201,55.292,-1.10532,-0.0894351,0.00657317,-0.00276175,4.7715e-05
9,917.28,931.68,53.2732,55.321,-1.25223,-0.0603628,0.00630045,-0.00185644,-0.000230487
10,917.28,931.68,53.1207,55.2973,-1.40476,-0.0840435,0.00860991,-0.00232922,-0.000179618
