"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1219.68,1287.36,72.5008,76.5239,0,0,0,0,0
1,1219.68,1287.36,72.4157,76.5189,-0.0851542,-0.00497641,-4.16201e-06,-0.000548542,-0.000134102
2,1219.68,1287.36,72.2805,76.4853,-0.220332,-0.0385713,0.00129915,0.000281454,-0.00104798
3,1219.68,1287.36,72.149,76.4497,-0.351825,-0.0742093,0.00143109,0.000320073,-0.000132361
4,1219.68,1287.36,72.0239,76.4185,-0.476901,-0.105439,0.00249652,-0.00174497,-0.000504834
5,1219.68,1287.36,71.8972,76.4353,-0.603663,-0.0885826,0.00218499,-0.00100853,-0.000574402
6,1219.68,1287.36,71.7712,76.4052,-0.729638,-0.118742,0.0038501,-0.00107947,-0.000319446
7,1219.68,1287.36,71.6482,76.3612,-0.852595,-0.162747,0.00394762,-0.00137652,-0.000643686
8,1219.68,1287.36,71.5271,76.3501,-0.973696,-0.173844,0.00462881,-0.00200355,-0.000553364
9,1219.68,1287.36,71.3952,76.3726,-1.10559,-0.151321,0.00573628,-0.00240082,-0.00125187
10,1219.68,1287.36,71.2624,76.3382,-1.23846,-0.185724,0.00592027,-0.00271613,-0.000807441
