"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1312.21,1031.06,78.0011,61.2886,0,0,0,0,0
1,1312.21,1031.06,77.916,61.2867,-0.0850724,-0.00194485,0.00126123,0.000846799,0.00109619
2,1312.21,1031.06,77.7866,61.2578,-0.214475,-0.0308461,0.00315506,-0.00229486,-6.03325e-05
3,1312.21,1031.06,77.6595,61.2275,-0.341631,-0.0610675,0.00461453,-0.0037472,0.000773767
4,1312.21,1031.06,77.5368,61.2033,-0.464319,-0.0853337,0.00543736,-0.00601143,0.000355635
5,1312.21,1031.06,77.4116,61.2243,-0.589511,-0.0642761,0.00680328,-0.00708284,-0.000240905
6,1312.21,1031.06,77.2923,61.1987,-0.708813,-0.0899293,0.0080818,-0.0110448,0.00185389
7,1312.21,1031.06,77.1736,61.1671,-0.827499,-0.121494,0.0106205,-0.0119089,0.000463209
8,1312.21,1031.06,77.0562,61.1581,-0.944906,-0.130527,0.0123886,-0.0123506,-0.000283862
9,1312.21,1031.06,76.9324,61.1885,-1.06871,-0.100162,0.0150822,-0.0166869,-0.00107292
10,1312.21,1031.06,76.8069,61.1555,-1.19418,-0.133147,0.0191108,-0.0177284,-0.000128868
