"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1277.5,1155.83,75.9378,68.7056,0,0,0,0,0
1,1277.5,1155.83,75.8548,68.7026,-0.0830355,-0.00306709,0.000954014,-2.16592e-05,-0.000279332
2,1277.5,1155.83,75.7254,68.6721,-0.212366,-0.0335057,0.00126172,-0.00131096,-0.00160678
3,1277.5,1155.83,75.5915,68.6362,-0.346331,-0.0694387,0.00226205,-0.00179721,-0.000335826
4,1277.5,1155.83,75.4675,68.6081,-0.470286,-0.0974883,0.002671,-0.00252042,-0.000842534
5,1277.5,1155.83,75.3429,68.6259,-0.594896,-0.0797193,0.00201953,-0.00169325,-0.000508338
6,1277.5,1155.83,75.2223,68.5952,-0.715525,-0.11039,0.0025796,-0.002699,-0.000785134
7,1277.5,1155.83,75.1016,68.5541,-0.836229,-0.151565,0.00432912,-0.0023413,-0.00130205
8,1277.5,1155.83,74.9838,68.5449,-0.954013,-0.16069,0.00441636,-0.00306767,-0.00116283
9,1277.5,1155.83,74.8583,68.5675,-1.0795,-0.138125,0.00598976,-0.00235515,-0.00230931
10,1277.5,1155.83,74.7255,68.5321,-1.21226,-0.173502,0.00678867,-0.00340706,-0.00281136
