"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1508.33,1009.17,89.6591,59.9874,0,0,0,0,0
1,1508.33,1009.17,89.5827,59.9853,-0.0764288,-0.00205886,0.000687958,-0.000509469,-0.000109632
2,1508.33,1009.17,89.4611,59.9565,-0.198027,-0.0308714,0.00155428,0.000681882,-0.000339148
3,1508.33,1009.17,89.3424,59.9242,-0.316756,-0.0631645,0.00149222,-0.00108168,-0.000191942
4,1508.33,1009.17,89.2292,59.9002,-0.42986,-0.087227,0.00245996,0.00013395,0.000229311
5,1508.33,1009.17,89.1175,59.9215,-0.541648,-0.0658668,0.00292936,-0.00100381,0.000200349
6,1508.33,1009.17,89.0053,59.8909,-0.653827,-0.0964634,0.00388891,-0.000368125,0.00057169
7,1508.33,1009.17,88.8993,59.862,-0.759844,-0.125378,0.00586741,-0.00190568,0.000103096
8,1508.33,1009.17,88.7934,59.8551,-0.865677,-0.13234,0.00585249,-0.00246137,-0.000228744
9,1508.33,1009.17,88.6835,59.8815,-0.975629,-0.105901,0.00701408,-0.00191222,-0.000338739
10,1508.33,1009.17,88.5691,59.8532,-1.08998,-0.134239,0.00776766,-0.00163828,-0.000349395
