"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1095.84,1159.2,65.1395,68.9057,0,0,0,0,0
1,1095.84,1159.2,65.0493,68.9044,-0.0901474,-0.00135353,0.00155936,-0.000115516,-7.96889e-05
2,1095.84,1159.2,64.9107,68.8801,-0.228802,-0.025683,0.00169107,-0.0015641,0.000964536
3,1095.84,1159.2,64.7742,68.8456,-0.365235,-0.0601667,0.00215889,-0.00115808,-0.000209574
4,1095.84,1159.2,64.6391,68.8223,-0.500351,-0.083413,0.00402654,-0.0016936,0.000863999
5,1095.84,1159.2,64.502,68.8417,-0.637463,-0.0640648,0.00352479,-0.00156245,0.00069776
6,1095.84,1159.2,64.3699,68.8151,-0.769599,-0.0906514,0.00402532,-0.00286803,-0.000133409
7,1095.84,1159.2,64.2417,68.7784,-0.897813,-0.12735,0.00606832,-0.00267961,0.00047056
8,1095.84,1159.2,64.1121,68.7707,-1.02733,-0.135091,0.00684633,-0.00414558,0.000337645
9,1095.84,1159.2,63.9736,68.7949,-1.16588,-0.110849,0.00851346,-0.00429568,6.62645e-05
10,1095.84,1159.2,63.834,68.7653,-1.30548,-0.140493,0.00732158,-0.00468521,-0.000288675
