"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1294.17,1180.83,76.9285,70.1917,0,0,0,0,0
1,1294.17,1180.83,76.8464,70.1886,-0.0820723,-0.00305709,0.000400055,-0.000160039,-0.000228973
2,1294.17,1180.83,76.7133,70.1559,-0.215203,-0.0357428,0.00144268,-0.00121975,-0.000390544
3,1294.17,1180.83,76.5859,70.1191,-0.342638,-0.0725762,0.00218389,0.000463462,-0.000728829
4,1294.17,1180.83,76.4614,70.0887,-0.467097,-0.103022,0.0022582,-0.00101276,-0.00039029
5,1294.17,1180.83,76.3372,70.1073,-0.591294,-0.0843446,0.0029415,-0.00110099,-0.000300615
6,1294.17,1180.83,76.2142,70.0771,-0.71426,-0.114554,0.00383704,-0.00138981,-6.13493e-05
7,1294.17,1180.83,76.0966,70.0362,-0.83194,-0.155472,0.00429516,-0.00171845,-0.000852352
8,1294.17,1180.83,75.9787,70.0243,-0.949793,-0.16741,0.00505351,-0.00191388,-0.000581826
9,1294.17,1180.83,75.855,70.0486,-1.07353,-0.143047,0.0065472,-0.00206232,-0.0007609
10,1294.17,1180.83,75.7272,70.0132,-1.2013,-0.178484,0.00791231,-0.0012552,-0.000412385
