"IMAGE","X[px]","Y[px]",x,y,u,v,Exx,Eyy,Exy
0,1631.52,773.28,96.9816,45.9657,0,0,0,0,0
1,1631.52,773.28,96.9045,45.9654,-0.077169,-0.000343881,-0.00050997,0.000315125,-0.000507854
2,1631.52,773.28,96.7931,45.9447,-0.188502,-0.0210064,0.00326729,-0.00242583,-0.000570475
3,1631.52,773.28,96.6729,45.9132,-0.308688,-0.0525049,0.00181174,-0.000776796,6.85508e-05
4,1631.52,773.28,96.5632,45.8946,-0.418433,-0.0711402,0.0026085,-0.00153501,4.06442e-05
5,1631.52,773.28,96.456,45.917,-0.525594,-0.0487164,0.00455023,-0.00218346,5.12011e-05
6,1631.52,773.28,96.3489,45.8974,-0.632721,-0.0683411,0.00537207,-0.00111451,0.000479025
7,1631.52,773.28,96.2481,45.8663,-0.733524,-0.0994084,0.00516034,-0.00296653,0.000226356
8,1631.52,773.28,96.1485,45.867,-0.833084,-0.0986897,0.00653335,-0.00321124,-0.000112216
9,1631.52,773.28,96.0412,45.8991,-0.940433,-0.0666126,0.00792048,-0.00280637,0.000118418
10,1631.52,773.28,95.9373,45.8763,-1.04429,-0.0894416,0.0120511,-0.00543323,0.000452866
